['EDAP', 2.9199999999999999]
['EDGE', 9.9800000000000004]
['EDGW', 6.8300000000000001]
['EDIT', 20.710000000000001]
['EDUC', 10.69]
['EGAN', 2.3199999999999998]
['EGLT', 2.0699999999999998]
['EHTH', 19.059999999999999]
['EIGR', 9.5700000000000003]
['EKSO', 1.98]
['LOCO', 12.130000000000001]
['EMITF', 2.9500000000000002]
['ESLT', 130.38999999999999]
['ERI', 23.32]
['ESIO', 12.369999999999999]
['EA', 108.70999999999999]
['EFII', 41.229999999999997]
['ELSE', 3.7799999999999998]
['ELEC', 10.119999999999999]
['ELECU', None]
['ELECW', None]
['EBIO', 1.3799999999999999]
['DWAC', 24.27]
['ESBK', nan]
['ELTK', 3.3799999999999999]
['EMCI', 27.829999999999998]
['EMCF', nan]
['EMKR', 9.0700000000000003]
['RNEM', nan]
['EMMS', 3.0499999999999998]
['NYNY', 23.66]
['ENTA', 39.869999999999997]
['ECPG', 40.020000000000003]
['WIRE', 43.810000000000002]
['ENDP', 9.6999999999999993]
['ECYT', 2.73]
['ELGX', 5.3499999999999996]
['NDRA', nan]
['NDRAW', None]
['EIGI', 8.0800000000000001]
['WATT', 12.84]
['EFOI', 2.6499999999999999]
['ERII', 8.0700000000000003]
['EXXI', 16.800000000000001]
['ENG', 1.25]
['ENPH', 1.3500000000000001]
['ESGR', 205.11000000000001]
['ENFC', 24.77]
['ENTG', 26.399999999999999]
['ENTL', 16.550000000000001]
['EBTC', 34.060000000000002]
['EFSC', 41.420000000000002]
['ENZY          ', None]
['EPZM', 15.130000000000001]
['PLUS', 78.640000000000001]
['EQIX', 437.94999999999999]
['EQFN', 10.25]
['EQBK', 33.079999999999998]
['ERIC', 6.4000000000000004]
['ERIE', 120.47]
['ERYP', nan]
['ESCA', 12.619999999999999]
['ESPR', 45.380000000000003]
['ESQ', nan]
['ESSA', 14.98]
['EPIX', 0.92000000000000004]
['ESND', 12.710000000000001]
['ESTR', nan]
['ESTRW', None]
['ITEQ', 30.239999999999998]
['ETSY', 14.890000000000001]
['CLWT', 3.4100000000000001]
['EEFT', 90.599999999999994]
['ESEA', 1.52]
['EVEP', 0.82999999999999996]
['EVBG', 24.449999999999999]
['EVK', 2.5]
['MRAM', 13.279999999999999]
['EVLV', 1.1799999999999999]
['EVGN', 4.6799999999999997]
['EVOK', 2.7599999999999998]
['EVOL', 4.8200000000000003]
['EXAS', 40.100000000000001]
['EXAC', 33.240000000000002]
